feature	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	241008_M274_01_HILIC_pos_B1.mzXML	241008_M274_01_HILIC_pos_B10.mzXML	241008_M274_01_HILIC_pos_B11.mzXML	241008_M274_01_HILIC_pos_B12.mzXML	241008_M274_01_HILIC_pos_B13.mzXML	241008_M274_01_HILIC_pos_B14.mzXML	241008_M274_01_HILIC_pos_B15.mzXML	241008_M274_01_HILIC_pos_B16.mzXML	241008_M274_01_HILIC_pos_B17.mzXML	241008_M274_01_HILIC_pos_B18.mzXML	241008_M274_01_HILIC_pos_B19.mzXML	241008_M274_01_HILIC_pos_B2.mzXML	241008_M274_01_HILIC_pos_B20.mzXML	241008_M274_01_HILIC_pos_B21.mzXML	241008_M274_01_HILIC_pos_B22.mzXML	241008_M274_01_HILIC_pos_B23.mzXML	241008_M274_01_HILIC_pos_B3.mzXML	241008_M274_01_HILIC_pos_B4.mzXML	241008_M274_01_HILIC_pos_B5.mzXML	241008_M274_01_HILIC_pos_B6.mzXML	241008_M274_01_HILIC_pos_B7.mzXML	241008_M274_01_HILIC_pos_B8.mzXML	241008_M274_01_HILIC_pos_B9.mzXML
FT0041	112.087063184997	112.087063184997	112.087063184997	437.559700970958	437.559700970958	437.559700970958	1	1.07496005299544	1.68026090224524	1.64952837526296	NA	1.74766737856365	1.63433998985295	NA	0.891662465994327	NA	1.5577800085788	1.98369800357594	NA	NA	NA	1.26329178928107	1.2552609265693	NA	0.246454372198082	1.44236238956512	NA	1.39125756376671	NA	NA
FT0042	113.034145590888	113.034145590888	113.034145590888	98.4880760973086	98.4880760973086	98.4880760973086	1	2.84412610348459	2.75566721653563	2.62331844229288	2.29424023043395	2.30413299197175	2.34196963041653	2.40641631750302	2.63502173982319	2.25469048439032	2.54267003019935	2.22109740895491	2.46476044038465	2.24564930091272	2.08939012896661	1.87831134474757	2.59769364697947	2.72620483733711	1.71703002725293	2.08590016126771	2.68850690111032	2.08127437311923	2.49975058856116	2.57050458077571
FT0043	114.06670034716	114.066073892454	114.067162427245	248.633801363789	240.774718190725	254.164165502398	27	4.70791642996122	4.74092423352219	4.76295415783584	4.75066890727232	4.73321307795988	4.7468254406133	4.73528384729574	4.70555202896543	4.70605002887573	4.48889214333794	4.85740373324416	4.69687359171371	4.71680786794337	4.70267365856854	4.61444914972253	4.70355225693428	4.6668992235219	4.60988981939831	4.74604029821402	4.73475530553608	4.86564969066647	4.55277624063048	4.51185286524692
FT0044	115.069095515003	115.069095515003	115.069095515003	249.46507975415	249.46507975415	249.46507975415	1	3.30245425269516	3.32489546636048	3.18335086333395	3.2720154229335	3.30702744230197	3.28838296540469	3.27041307099244	3.13482490162406	3.23770599019522	3.22765576179261	3.54216517343467	3.16481280724969	3.23140882872424	3.21903030113813	3.12512386682842	3.03468302345939	3.1208260442314	3.22787707688386	3.21155812488705	3.2445868173074	3.36632614262414	3.17280793829617	3.14550854772854
FT0045	115.086305426121	115.086305426121	115.086305426121	313.195316229034	313.195316229034	313.195316229034	1	2.65800916681565	2.62779642550635	2.7385583536111	1.72386267355916	2.27382738135447	2.57915114073453	2.56045629419411	2.34784837590622	2.46560185811388	2.20692184601101	2.20389334390455	2.44149843953634	2.18705601174902	2.80412266921222	2.6332186983708	2.00550993412667	2.42255578646795	2.60469626813011	2.15589273541791	2.64817043663319	2.86742796888258	2.14748179931499	2.13352600363197
FT0046	116.070457977142	116.070062287466	116.070978396874	380.488888408612	379.175378463341	392.166095162939	32	4.09227840078987	4.20495123064135	4.00654025838222	4.19163462116749	3.60789328943611	3.97862659151638	3.93156369888657	3.93218285123542	3.8868695133048	3.9466242732447	3.9203544949764	3.84342496941564	3.78667427599079	3.96046887424145	3.60995010185666	4.0823499141534	4.01416346517193	3.70759613260851	3.56623300871157	4.11936506429787	3.8625738265661	3.87149237254776	3.99721384893342
FT0047	118.086925130143	118.085998441489	118.087543163869	358.421033788986	352.39982673654	370.34900279556	56	5.0530635715896	5.02305648145933	4.92168823617487	5.09537106891852	4.93895956769143	4.97618927840905	5.02163209957105	4.97643607834001	4.95851201134888	4.87306368588139	5.02359479717399	5.04009758696718	5.05961621195498	5.03266001908638	4.93308423289615	5.02513690398994	5.05844017861624	4.99089310232517	5.00719886168703	5.15944563241032	4.90575666930552	4.87423780277665	5.02706996859222
FT0048	119.089206693252	119.088974657096	119.089432743393	359.743201199801	352.39982673654	370.34900279556	7	3.78422091183489	3.83329422061898	3.66648100306127	3.63211287347976	3.66011133782418	3.6359315056795	3.72136418927233	3.6645242801513	3.49167037293043	3.60041610764246	3.35145655855775	3.77406082909176	3.78877938322364	3.72295955507798	3.69556626295314	3.73912627919552	3.58423768786386	3.77774947716067	3.56574362718257	3.914903071568	3.6561777002127	3.55972691412342	3.76430083801469
FT0049	120.080897000711	120.072550170189	120.089561035962	352.681783470439	349.359957322062	370.34900279556	38	4.27173320606305	4.29561106615739	4.26730138339392	4.35854840858468	4.21400804906605	4.29392561929369	4.29942728080014	4.25224953301629	4.22108056728627	4.2360228551587	4.42238012790642	4.23771708235711	4.26666696176298	4.25943164204788	4.24919698640763	4.29575334954073	4.22291074156839	4.21315378152221	4.21087048067352	4.28313610576893	4.31834614730986	4.20116180736297	4.25478417897105
FT0050	121.083664104973	121.083664104973	121.083664104973	351.526762103476	351.526762103476	351.526762103476	1	2.52681292333691	3.05392608686495	2.93089458119386	3.04825083449693	2.96453789661831	3.13177613160517	3.10556498437059	3.04034701552694	2.92478060768258	2.54326928714862	2.99148637798896	3.0104893879898	2.72220399947476	2.8121203422502	2.96636858385583	2.83788471743482	2.68734586320713	3.05329002026014	2.83297428827678	2.85617629178099	3.1590010380164	2.54426038530341	3.05598215413702
FT0051	121.064877677104	121.064877677104	121.064877677104	326.084756805788	326.084756805788	326.084756805788	1	NA	NA	0.92265795326252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.736930529990295	NA	NA	1.14968882125304	NA	NA	NA
FT0052	121.075694169777	121.075694169777	121.075694169777	58.5696245398548	58.5696245398548	58.5696245398548	1	1.70941715220674	2.25974905697333	2.59844319451204	1.91794840361193	2.17696657877935	NA	NA	2.35410407446854	2.31289487436698	2.33147466614271	2.17324444389239	1.82942655481663	1.92253244244821	2.08235870161015	2.30345447431316	1.97613550703001	1.68221676496163	2.3913314679635	1.88999021034372	2.31206637523396	2.37822594183066	2.23004822731315	2.14193829457125
FT0053	123.055426770903	123.054810284331	123.063838324105	74.0071787443141	71.0906039954127	75.5838273986791	47	4.74494535685791	4.60579969946434	4.45356414931465	4.71397993903577	4.47449727638201	4.44243357282634	4.44247683517874	4.2685824840968	4.70461253156822	4.64711195611682	4.44488873618374	4.43317050458797	4.39596375967426	4.56409506143002	4.1685133326771	4.59197460144225	4.80455775362627	4.43882997971162	4.36434647278263	4.83364388785311	4.27559923717583	4.44340539501238	4.57695182784215
FT0054	124.038821611136	124.038821611136	124.038821611136	323.144226160053	323.144226160053	323.144226160053	1	NA	NA	NA	NA	2.14673487141331	NA	NA	2.038670646394	NA	NA	NA	NA	NA	NA	1.8566617690534	NA	NA	NA	2.32104905154018	NA	NA	NA	NA
FT0055	125.070806800846	125.070806800846	125.070806800846	69.7524614542158	69.7524614542158	69.7524614542158	1	2.96235181254103	2.88677597231266	2.69878685475768	2.74162098446225	3.08906412024022	2.93690756635431	2.92118129078773	2.92495122825833	2.83752174059324	3.03367954065331	3.08253335440195	2.7960615546853	2.89877314385113	2.91842172267059	2.61320888309348	2.90144345213144	2.81755534692708	2.97771944318463	2.83741689193812	2.98482348641951	2.88722746800741	2.71900337914561	3.01716646669171
FT0056	126.054276297388	126.054276297388	126.054276297388	79.2424121145343	79.2424121145343	79.2424121145343	1	2.53955091238792	1.60734291320469	2.59945000634187	2.47419716647802	2.65233913628238	2.59895073222219	2.61764302570946	2.26304611510802	2.21254644506645	2.37969611613444	2.72793477548841	2.64439557288121	2.18376733197103	2.38922277753282	2.33932439142266	2.15762599273828	2.30526510463064	2.56865880397946	2.53317028332455	1.96609950941435	2.36191536948047	1.97648518046415	1.88708299178334
